Sr No.		Name		Phy		Che		Mat		Total
51				0		4850100		0		4850100
50				0		4850100		0		4850100
49				0		4850100		0		4850100
48				0		4850100		0		4850100
47				0		4850100		0		4850100
46				0		4850100		0		4850100
45				0		4850100		0		4850100
44				0		4850100		0		4850100
43				0		4850100		0		4850100
42				0		4850100		0		4850100
41				0		4850100		0		4850100
40				0		4850100		0		4850100
39				0		4850100		0		4850100
38				0		4850100		0		4850100
37				0		4850100		0		4850100
36				0		4850100		0		4850100
35				0		4850100		0		4850100
34				0		4850100		0		4850100
33				0		4850100		0		4850100
32				0		4850100		0		4850100
31				0		4850100		0		4850100
30				0		4850100		0		4850100
29				0		4850100		0		4850100
28				0		4850100		0		4850100
27				0		4850100		0		4850100
26				0		4850100		0		4850100
25				0		4850100		0		4850100
24				0		4850100		0		4850100
23				0		4850100		0		4850100
22				0		4850100		0		4850100
21				0		4850100		0		4850100
20				0		4850100		0		4850100
19				0		4850100		0		4850100
18				0		4850100		0		4850100
17				0		4850100		0		4850100
16				0		4850100		0		4850100
15				0		4850100		0		4850100
14				0		4850100		0		4850100
13				0		4850100		0		4850100
12				0		4850100		0		4850100
11				0		4850100		0		4850100
10				0		4850100		0		4850100
9				0		4850100		0		4850100
8				0		4850100		0		4850100
7				0		4850100		0		4850100
6				0		4850100		0		4850100
5				0		4850100		0		4850100
4				0		4850100		0		4850100
3				0		4850100		0		4850100
2				0		4850100		0		4850100
1				0		4850100		0		4850100
0				0		4850100		0		4850100
